"","days","1","2","3","4","5"
"339",24675,0,0,0,0,0
"340",24748,0,0,0,0,0
"341",24821,1113.366093,639.004033,538.316595,637.901511,669.834461
"342",24894,0,0,0,0,0
"343",24967,0,0,0,0,0
"344",25040,0,0,0,0,0
"345",25113,0,0,0,0,0
"346",25186,1113.366093,639.004033,538.316595,637.901511,669.834461
"347",25259,0,0,0,0,0
"348",25332,0,0,0,0,0
"349",25405,0,0,0,0,0
"350",25478,0,0,0,0,0
"351",25551,1113.366093,639.004033,538.316595,637.901511,669.834461
"352",25624,0,0,0,0,0
"353",25697,0,0,0,0,0
"354",25770,0,0,0,0,0
"355",25843,0,0,0,0,0
"356",25916,1113.366093,639.004033,538.316595,637.901511,669.834461
"357",25989,0,0,0,0,0
"358",26062,0,0,0,0,0
"359",26135,0,0,0,0,0
"360",26208,0,0,0,0,0
"361",26281,1113.366093,639.004033,538.316595,637.901511,669.834461
"362",26354,0,0,0,0,0
"363",26427,0,0,0,0,0
"364",26500,0,0,0,0,0
"365",26573,0,0,0,0,0
"366",26646,1113.366093,639.004033,538.316595,637.901511,669.834461
"367",26719,0,0,0,0,0
"368",26792,0,0,0,0,0
"369",26865,0,0,0,0,0
"370",26938,0,0,0,0,0
"371",27011,1113.366093,639.004033,538.316595,637.901511,669.834461
"372",27084,0,0,0,0,0
"373",27157,0,0,0,0,0
"374",27230,0,0,0,0,0
"375",27303,0,0,0,0,0
"376",27376,1113.366093,639.004033,538.316595,637.901511,669.834461
"377",27449,0,0,0,0,0
"378",27522,0,0,0,0,0
"379",27595,0,0,0,0,0
"380",27668,0,0,0,0,0
"381",27741,1113.366093,639.004033,538.316595,637.901511,669.834461
"382",27814,0,0,0,0,0
"383",27887,0,0,0,0,0
"384",27960,0,0,0,0,0
"385",28033,0,0,0,0,0
"386",28106,1113.366093,639.004033,538.316595,637.901511,669.834461
"387",28179,0,0,0,0,0
"388",28252,0,0,0,0,0
"389",28325,0,0,0,0,0
"390",28398,0,0,0,0,0
"391",28471,1113.366093,639.004033,538.316595,637.901511,669.834461
"392",28544,0,0,0,0,0
"393",28617,0,0,0,0,0
"394",28690,0,0,0,0,0
"395",28763,0,0,0,0,0
"396",28836,1113.366093,639.004033,538.316595,637.901511,669.834461
"397",28909,0,0,0,0,0
"398",28982,0,0,0,0,0
"399",29055,0,0,0,0,0
"400",29128,0,0,0,0,0
"401",29201,1113.366093,639.004033,538.316595,637.901511,669.834461
"402",29274,0,0,0,0,0
"403",29347,0,0,0,0,0
"404",29420,0,0,0,0,0
"405",29493,0,0,0,0,0
"406",29566,1113.366093,639.004033,538.316595,637.901511,669.834461
"407",29639,0,0,0,0,0
"408",29712,0,0,0,0,0
"409",29785,0,0,0,0,0
"410",29858,0,0,0,0,0
"411",29931,1113.366093,639.004033,538.316595,637.901511,669.834461
"412",30004,0,0,0,0,0
"413",30077,0,0,0,0,0
"414",30150,0,0,0,0,0
"415",30223,0,0,0,0,0
"416",30296,1113.366093,639.004033,538.316595,637.901511,669.834461
"417",30369,0,0,0,0,0
"418",30442,0,0,0,0,0
"419",30515,0,0,0,0,0
"420",30588,0,0,0,0,0
"421",30661,1113.366093,639.004033,538.316595,637.901511,669.834461
"422",30734,0,0,0,0,0
"423",30807,0,0,0,0,0
"424",30880,0,0,0,0,0
"425",30953,0,0,0,0,0
"426",31026,1113.366093,639.004033,538.316595,637.901511,669.834461
"427",31099,0,0,0,0,0
"428",31172,0,0,0,0,0
"429",31245,0,0,0,0,0
"430",31318,0,0,0,0,0
"431",31391,1113.366093,639.004033,538.316595,637.901511,669.834461
"432",31464,0,0,0,0,0
"433",31537,0,0,0,0,0
"434",31610,0,0,0,0,0
"435",31683,0,0,0,0,0
"436",31756,1113.366093,639.004033,538.316595,637.901511,669.834461
"437",31829,0,0,0,0,0
"438",31902,0,0,0,0,0
"439",31975,0,0,0,0,0
"440",32048,0,0,0,0,0
"441",32121,1113.366093,639.004033,538.316595,637.901511,669.834461
"442",32194,0,0,0,0,0
"443",32267,0,0,0,0,0
"444",32340,0,0,0,0,0
"445",32413,0,0,0,0,0
"446",32486,1113.366093,639.004033,538.316595,637.901511,669.834461
"447",32559,0,0,0,0,0
"448",32632,0,0,0,0,0
"449",32705,0,0,0,0,0
"450",32778,0,0,0,0,0
"451",32851,1113.366093,639.004033,538.316595,637.901511,669.834461
"452",32924,0,0,0,0,0
"453",32997,0,0,0,0,0
"454",33070,0,0,0,0,0
"455",33143,0,0,0,0,0
"456",33216,1113.366093,639.004033,538.316595,637.901511,669.834461
"457",33289,0,0,0,0,0
"458",33362,0,0,0,0,0
"459",33435,0,0,0,0,0
"460",33508,0,0,0,0,0
