"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"208",15112,1145.59799195621,1145.60411312579,1059.26555746773,1059.29049320201,1151.23353150429,1151.24541737323,1187.99853045095,1188.01233890725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",15185,1145.60091895448,1145.60657355888,1059.26912164321,1059.29299217058,1151.23650873974,1151.24788626189,1188.00407838235,1188.01736752425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",15258,1145.60372008256,1145.60892818555,1059.27253254784,1059.29538367325,1151.23935794462,1151.25024898051,1188.00938772398,1188.02217676615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",15331,1145.60640075326,1145.61118155582,1059.27579677277,1059.29767233162,1151.24208462468,1151.25251009476,1188.01446873675,1188.02677620517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",15404,1145.60896614662,1145.61333802403,1059.27892062569,1059.29986256852,1151.24469404885,1151.25467397392,1188.0193312403,1188.03117499578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",15477,1145.61142121994,1145.61540175727,1059.28191014303,1059.30195861657,1151.24719125951,1151.25674479942,1188.02398463191,1188.03538189294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",15550,1145.61377071733,1145.61737674345,1059.28477110166,1059.30396452636,1151.2495810822,1151.25872657287,1188.02843790471,1188.03940526953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",15623,1145.61601917889,1145.61926679896,1059.28750903,1059.30588417426,1151.25186813495,1151.26062312378,1188.03269966505,1188.04325313299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",15696,1145.61817094948,1145.6210755761,1059.29012921875,1059.30772126995,1151.25405683719,1151.262438117,1188.03677814912,1188.04693314134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",15769,1145.62023018712,1145.62280657009,1059.29263673108,1059.30947936356,1151.25615141829,1151.26417505975,1188.0406812389,1188.05045261838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
