"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"274",19930,2487664.7449568,1032797.62930938,1901840.13391396,411102.894771761,2410092.80005194,871616.383003013,2247671.15366613,264976.981936733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",20003,2487772.6203698,1034423.6478376,1908531.36134246,411369.15251475,2417515.83247189,872848.74560636,2255705.73919408,264757.843394494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",20076,2496764.08905207,1037128.22892806,1916224.91798373,412475.990851104,2426571.00453055,875120.792352679,2266702.39174659,265871.499961859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",20149,2519176.29730581,1043527.55302988,1925714.71836467,415585.46644692,2438222.24486163,880716.075447815,2278898.89889182,268659.794694732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",20222,2530524.79994521,1048878.96710619,1933954.12095893,417778.41001377,2447908.8575971,885279.25580162,2287737.74022159,269733.115216642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",20295,2534012.32287108,1052010.25428545,1941203.10459638,418735.463257473,2456478.76159902,887828.006055007,2296656.89971695,269888.007887173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",20368,2534119.09093044,1053636.28663988,1947893.99722317,419000.705794268,2463901.57702278,889057.936608402,2304694.34248844,269669.639839709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",20441,2543114.23159933,1056340.65681404,1955587.79356291,420107.424513099,2472956.95393074,891332.798564354,2315692.91107095,270783.521668427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",20514,2565523.16575291,1062740.10521121,1965079.1973741,423216.149505579,2484607.33930211,896930.218545544,2327893.25945695,273571.40100992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",20587,2576873.08344734,1068092.71277252,1973321.34524995,425409.215164895,2494293.95266224,901493.019946885,2336734.55521759,274644.914602706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",20660,2580369.40645826,1071222.79006646,1980569.94646473,426366.470850619,2502863.82513371,904042.703267467,2345656.21643719,274799.632905899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",20733,2580477.59474227,1072850.19861574,1987260.83567233,426631.75422387,2510286.49172984,905275.167125922,2353696.26849365,274580.755710422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",20806,2589468.76440355,1075558.5924527,1994955.32510937,427738.514950707,2519341.4744735,907549.50235042,2364697.22798924,275694.874206319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",20879,2611881.85307648,1081956.95885966,2004445.74166076,430847.347000446,2530991.86003313,913145.106114497,2376899.96838843,278482.733391954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",20952,2623230.68808172,1087308.85759986,2012685.7955105,433040.458241836,2540678.47397496,917708.015779489,2385743.50238314,279556.261157893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",21025,2626717.46667582,1090434.93423424,2019934.48175887,433997.790505518,2549248.33258304,920258.284553342,2394667.40653936,279710.979289489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",21098,2626823.9353804,1092063.08962126,2026626.15485223,434263.118395291,2556670.97254475,921489.386621726,2402709.76138298,279490.910640036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",21171,2635818.5622231,1094771.9239157,2034320.81971577,435369.92260752,2565725.9565186,923763.143425071,2413712.86866911,280604.395685085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",21244,2658227.48391185,1101171.2890401,2043811.39463331,438478.839373576,2577376.34562621,929358.500722526,2425917.76453025,283392.641125361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",21317,2669577.42567162,1106523.37312093,2052051.60922966,440672.023852658,2587062.96376002,933920.128203634,2434763.30452504,284466.149569657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",21390,2673072.78130671,1109652.66585172,2059300.96358791,441629.679054356,2595632.81643441,936468.197959447,2443689.22164658,284620.779452635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",21463,2673181.22149776,1111282.43001742,2065992.8895925,441894.725213397,2603055.42923234,937699.952718829,2451733.67162095,284402.606165546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",21536,2682172.14724298,1113982.70806542,2073687.30181461,443001.494147992,2612110.41289383,939974.428107208,2462738.71255365,285516.547939543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",21609,2704586.14569339,1120383.01535961,2083177.76476171,446110.353293813,2623760.79959027,945570.28926184,2474945.5526665,288304.544191905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
