"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"56",4016,1346.86883008039,1371.78593366706,1216.40676646211,1272.72698594812,1338.7785938996,1374.12799832046,1278.08961149213,1350.51619878283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",4089,1354.75921266634,1379.19172363581,1224.88981296832,1280.25876152365,1346.80513315478,1381.46980787434,1288.13359916117,1360.29552096959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",4162,1362.49605464183,1386.45333520709,1233.20595097522,1287.62874899124,1354.67542386037,1388.66817635289,1297.96557462057,1369.82372283486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",4235,1370.0823462225,1393.57358984136,1241.35868020957,1294.84156450688,1362.39252057693,1395.72599429403,1307.59093769145,1379.10841152682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",4308,1377.52101884301,1400.55525080001,1249.3513979099,1301.90159294587,1369.95941543473,1402.64607909738,1317.01488514322,1388.15692448331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",4381,1384.81494645166,1407.40102495474,1257.18740551305,1308.81300603344,1377.3790400798,1409.43117931254,1326.24242217525,1396.97634012246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",4454,1391.96694667305,1414.11356442718,1264.86991457043,1315.57977880923,1384.65426732658,1416.08397836462,1335.27837309984,1405.57348808183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",4527,1398.97978202706,1420.69546807908,1272.4020519963,1322.20570458463,1391.78791256045,1422.60709779825,1344.12739128044,1413.95495902589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",4600,1405.85616104809,1427.14928288669,1279.78686473639,1328.69440853657,1398.78273522096,1429.00310012275,1352.79396838373,1422.12711404046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",4673,1412.59873936321,1433.47750522241,1287.02732393306,1335.04936006773,1405.641440159,1435.27449132437,1361.28244299606,1430.09609363214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",4746,1419.21012082858,1439.68258205331,1294.12632865002,1341.27388405051,1412.36667882538,1441.42372309716,1369.59700865152,1437.86782635003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",4819,1425.69285858242,1445.76691207339,1301.08670922644,1347.37117106085,1418.96105048658,1447.45319483877,1377.7417213157,1445.44803704589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",4892,1432.04945598013,1451.73284677716,1307.91123029961,1353.34428669779,1425.42710334562,1453.36525544779,1385.72050636545,1452.84225478872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",4965,1438.28236761652,1457.58269149295,1314.60259352626,1359.19618007556,1431.76733560838,1459.16220495372,1393.53716510207,1460.05582044858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",5038,1444.39400028172,1463.31870637735,1321.16344006225,1364.92969156643,1437.98419660566,1464.8462960053,1401.19538083232,1467.09389396405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",5111,1450.3867139012,1468.94310733575,1327.59635282376,1370.54755986526,1444.08008780906,1470.41973523858,1408.69872454928,1473.96146130697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",5184,1456.26282245628,1474.45806693462,1333.90385855336,1376.05242843975,1450.05736375604,1475.88468454262,1416.05066024239,1480.66334115774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
